Title,Annual Growth,Life Expectancy Male,Life Expectancy Female,Life Expectancy Average,Dev Status,Birth Per Hour,Death Per Hour,Migration Per Hour,Population
Uganda,3.236,51.7,52.7,52.2,least_developed,163.628105,46.53954338,-3.082191781,33424683
Estonia,-0.07,68.4,79.2,73.9,developed,1.796849315,1.904543379,0,1341140
Mexico,1.263,73.7,78.6,76.2,developing,258.6267808,58.98002283,-41.21547945,113423047
Reunion,1.249,73.7,81.1,77.3,developing,1.701506849,0.531757991,0,846068
India,1.431,62.8,65.7,64.2,developing,3113.110571,1113.762123,-68.49310502,1224614327
Lesotho,0.997,46.5,45.2,46,least_developed,6.89826484,4.031506849,-0.456575342,2171318
Belarus,-0.473,63.6,75.5,69.4,developed,11.88732877,15.98940639,-1.141780822,9595421
Palestinian Territories,2.551,70.6,73.8,72.2,developing,14.66479452,1.568675799,-2.054794521,4039192
Burundi,2.9,47.5,50.1,48.8,least_developed,30.62767123,13.24353881,8.447488584,8382849
Kenya,2.577,54,55.9,55,developing,165.1507306,48.99922374,-4.32260274,40512682
Czech Republic,0.526,73.8,80.2,77,developed,12.70563927,11.97833333,5.490091324,10492960
Macao,2.433,77.7,82.6,80,developing,0.526917808,0.261141553,1.155821918,543656
Botswana,1.353,53.8,52.5,53.3,developing,5.372351598,2.802899543,0.427625571,2006945
Puerto Rico,-0.175,74.7,82.7,78.7,developing,5.855525114,3.295821918,-3.31260274,3749009
Italy,0.631,78.6,84,81.4,developed,63.71287671,66.43625571,45.63757991,60550848
Cambodia,1.136,60.2,62.6,61.5,least_developed,36.59646119,12.95210046,-5.820593607,14138255
Ethiopia,2.212,55.7,58.7,57.2,least_developed,299.0000457,93.84753425,-6.849315068,82949541
Vanuatu,2.53,68.2,72.1,70,least_developed,0.781004566,0.130753425,0,239651
Cameroon,2.204,49,50.9,50,developing,78.90924658,31.77910959,-0.433789954,19598889
Benin,2.957,52.7,56.5,54.6,least_developed,38.32776256,11.7036758,1.141552511,8849892
Brazil,0.941,68.7,75.9,72.2,developing,355.5069635,139.5365297,-11.41550228,194946470
South Africa,0.956,50.1,52.1,51.2,developing,122.5729452,85.12936073,15.98175799,50132817
Singapore,3.518,78.5,82.7,80.6,developing,4.731027397,2.47803653,16.47803653,5086418
Iceland,1.518,79.5,83.1,81.3,developed,0.521484018,0.225228311,0.23783105,320136
Slovenia,0.274,75,82,78.6,developed,2.259360731,2.131598174,0.502283105,2029680
Honduras,1.994,69.7,74.5,72.1,developing,22.89607306,4.145365297,-2.283105023,7600524
Germany,-0.058,77.2,82.4,79.8,developed,78.69506849,96.69221461,12.55710046,82302465
Sri Lanka,1,71.2,77.4,74.2,developing,44.04159817,15.10527397,-5.707716895,20859949
New Caledonia,1.643,72.3,78.7,75.3,developing,0.473812785,0.167785388,0.145799087,250870
Suriname,0.99,66.4,73.1,69.6,developing,1.117054795,0.424360731,-0.114109589,524636
Eritrea,3.159,57.6,62.2,60,least_developed,20.87075342,4.603150685,1.255707763,5253676
Tonga,0.611,69.1,74.7,71.8,developing,0.331232877,0.07260274,-0.187123288,104058
Maldives,1.352,74.6,76.5,75.5,least_developed,0.600410959,0.127853881,-0.001210046,315885
Uzbekistan,1.122,64.3,70.7,67.4,developing,66.22299087,20.20075342,-11.83757991,27444702
Poland,0.058,71.2,79.9,75.5,developed,44.48378995,43.20579909,1.270410959,38276660
Indonesia,1.076,66.3,69.4,67.9,developing,509.5892237,193.1314384,-29.52257991,239870937
Vietnam,1.097,72.3,76.2,74.3,developing,168.0292694,51.18013699,-9.833150685,87848445
Kuwait,3.793,73.5,75.2,74.2,developing,5.341712329,0.887625571,6.338561644,2736732
Jordan,2.938,71.7,74.3,72.9,developing,17.34105023,2.67652968,4.632853881,6187227
Yemen,3.052,62.5,65.4,63.9,least_developed,98.60527397,17.80913242,-3.082191781,24052514
Netherlands Antilles,1.524,72.7,79.4,76.1,developing,0.3043379,0.161004566,0.192785388,200689
