cut,2,2
kick,,1,1
had,4,3
4,1,2
Despite,0,2
kick,1,1
gave,1,1
around,3,3
rebound,1,1
game,2,3
league!,1,0
swit,1,1
Christian,1,1
you,1,1
sensational,1,1
knock,1,2
lost,1,1
55,1,1
Within,0,1
MILAN,0,1
hung,1,1
Prince,1,1
net,,1,1
Rossoneri,1,5
some,5,4
back,8,8
authority,1,1
Mark,1,1
Milan’s,1,1
announced,,1,1
28th,1,1
second,,1,1
home,2,2
tonight.,1,0
for,15,11
However,0,1
attack.,1,0
good,,1,1
Thanks,0,1
midfield,,1,1
run,2,2
seconds,1,1
it’s,1,1
Antonio,2,2
Kevin-Prince,3,2
by,3,3
Thiago,1,1
on,13,6
of,10,7
ensure,1,1
slightly,1,1
Ambrosini,1,1
nerve,1,1
goal!,1,0
goal.,1,0
into,6,3
terrifially,1,1
scuffing,1,1
minute,,5,4
van,1,1
area,1,1
there,1,1
start,1,1
low,1,1
sealed,1,1
forward,2,2
was,11,12
Robinho.,1,0
enough,1,1
but,13,11
somehow,1,1
ended,1,1
Following,0,1
amusing,1,1
line,1,1
with,6,5
he,6,7
miss,,2,2
made,3,3
muster,1,1
dangerous,1,1
inside,1,1
up,7,8
Zlatan,1,1
Osvaldo,1,1
They,0,1
minutes,5,3
Boateng,2,3
side!,1,0
as,4,2
defender,1,1
at,3,2
again,1,2
Pjanic,1,1
incredible,1,1
when,1,1
Burdisso,,2,2
Picking,0,1
really,1,1
10,2,2
scored,3,3
Borini,1,1
Nocerino,,2,2
Nocerino.,1,0
football,1,1
chance,3,4
reflexes,1,1
sides,1,1
opened,1,1
lead,1,1
bullet,1,1
3-1,1,1
victory.,1,0
As,0,1
time,2,2
once,4,3
